Partlist

Exported from control-2011-b.brd at 10/16/2014 2:51:20 AM

EAGLE Version 6.5.0 Copyright (c) 1988-2013 CadSoft

Assembly variant: 

Part     Value              Package         Library          Position (inch)       Orientation

BZ1      PS12               PS12            tdk              (1.24 2.495)          R90
C1       10uF               C0805           rcl              (0.83 2.215)          R270
C2       100nF              C0603           rcl              (1.125 0.845)         MR90
C3       1uF                C0603           rcl              (3.57 3.83)           MR180
C4       470uF 25V          PANASONIC_G     rcl              (1.4 3.425)           R90
C5       470uF 25V          PANASONIC_G     rcl              (4.35 3.425)          R90
C7       470uF 25V          PANASONIC_G     rcl              (3.215 3.425)         R90
C10      470uF 25V          PANASONIC_G     rcl              (3.6 0.35)            R270
C14      470uF 25V          PANASONIC_G     rcl              (0.603 0.35)          R270
C18      33pF               C0603           rcl              (4.49 1.835)          R270
C19      10nF               C0603           rcl              (3.9 1.435)           R270
C20      1nF                C0603           rcl              (3.735 1.435)         R270
C21      100nF              C0603           rcl              (1.25 2.92)           MR270
C22      100nF              C0603           rcl              (4.205 2.92)          MR270
C23      100nF              C0603           rcl              (2.162 1.516)         MR0
C24      100nF              C0603           rcl              (2.232 1.615)         MR90
C25      100nF              C0603           rcl              (2.695 0.785)         MR270
C26      100nF              C0603           rcl              (4.505 0.85)          MR90
C27      100nF              C0603           rcl              (3.07 2.92)           MR270
C28      100nF              C0603           rcl              (2.695 2.92)          MR270
C29      100nF              C0603           rcl              (4.12 0.85)           MR90
C30      100nF              C0603           rcl              (2.32 2.92)           MR270
C31      1uF                C0603           rcl              (0.726 2.622)         R0
C32      100nF              C0603           rcl              (3.745 0.845)         MR90
C33      100nF              C0603           rcl              (3.45 2.92)           MR270
C34      1uF                C0603           rcl              (0.727 2.437)         R0
C35      100nF              C0603           rcl              (3.825 2.92)          MR270
C36      100nF              C0603           rcl              (0.875 2.92)          MR270
C37      100nF              C0603           rcl              (0.5 2.92)            MR270
C38      100nF              C0603           rcl              (1.505 0.845)         MR90
C39      100nF              C0603           rcl              (0.755 0.845)         MR90
C40      1nF                C0603           rcl              (1.685 0.545)         R180
C41      1uF 35V            C0805           rcl              (0.651 1.529)         R0
C42      100uF 25V          PANASONIC_E     rcl              (0.59 1.32)           R0
C43      10nF               C0603           rcl              (0.598 1.739)         R270
