Partlist

Exported from control-2014-a.brd at 12/27/2014 11:42:20 PM

EAGLE Version 6.5.0 Copyright (c) 1988-2013 CadSoft

Assembly variant: 

Part     Value              Package         Library                Position (inch)       Orientation

BZ1      PS12               PS12            tdk                    (1.075 2.345)         R90
C1       470uF 25V          PANASONIC_G     rcl                    (0.835 3.135)         R0
C2       100nF              C0603           rcl                    (1.71 3.355)          R90
C3       100nF              C0603           rcl                    (1.645 3.02)          R270
C4       100nF              C0603           rcl                    (1.755 3.18)          R180
C5       2.2nF              C0603           rcl                    (1.735 2.85)          R180
C6       470uF 25V          PANASONIC_G     rcl                    (2.62 3.13)           R180
C7       470uF 25V          PANASONIC_G     rcl                    (3.905 3.135)         R180
C8       100pF              C0603           rcl                    (4.595 2.165)         R90
C9       500R07S1R8BV4T     C0402           rcl                    (4.595 2.01)          R270
C10      27pF               C0603           rcl                    (4.095 1.85)          R90
C11      27pF               C0603           rcl                    (4.345 1.85)          R270
C12      33pF               C0603           rcl                    (4.34 1.685)          R270
C13      10nF               C0603           rcl                    (3.75 1.285)          R270
C14      1nF                C0603           rcl                    (3.585 1.285)         R270
C15      470uF 25V          PANASONIC_G     rcl                    (3.82 0.41)           R180
C16      470uF 25V          PANASONIC_G     rcl                    (1.375 0.4)           R0
C17      100uF 25V          PANASONIC_E     rcl                    (0.44 1.17)           R0
C18      1uF 35V            C0805           rcl                    (0.501 1.379)         R0
C19      10nF               C0603           rcl                    (0.448 1.589)         R270
C20      100nF              C0603           rcl                    (0.8 1.565)           R270
C21      22uF 6.3V          C1206           rcl                    (0.787 1.784)         R0
C22      10uF               C0805           rcl                    (0.68 2.065)          R270
C23      1uF                C0603           rcl                    (0.577 2.287)         R0
C24      1uF                C0603           rcl                    (0.576 2.472)         R0
C25      100nF              C0603           rcl                    (1.636 1.907)         MR180
C26      100nF              C0603           rcl                    (1.638 1.825)         MR180
C27      100nF              C0603           rcl                    (1.912 1.965)         MR0
C28      100nF              C0603           rcl                    (2.049 1.899)         MR0
C29      100nF              C0603           rcl                    (2.082 1.794)         MR270
C30      100nF              C0603           rcl                    (2.057 1.58)          MR0
C31      100nF              C0603           rcl                    (2.082 1.465)         MR90
C32      100nF              C0603           rcl                    (2.012 1.366)         MR0
C33      100nF              C0603           rcl                    (1.838 1.365)         MR0
C34      100nF              C0603           rcl                    (1.648 1.367)         MR180
C35      100nF              C0603           rcl                    (1.559 1.472)         MR90
C36      100nF              C0603           rcl                    (1.54 1.69)           MR270
C37      100nF              C0603           rcl                    (0.355 2.885)         MR270
C38      47nF               C0603           rcl                    (0.595 3.135)         MR90
C39      100nF              C0603           rcl                    (0.66 2.885)          MR270
C40      47nF               C0603           rcl                    (0.915 3.135)         MR90
C41      100nF              C0603           rcl                    (0.98 2.885)          MR270
C42      47nF               C0603           rcl                    (1.235 3.135)         MR90
C43      100nF              C0603           rcl                    (1.82 3.26)           MR180
C44      100nF              C0603           rcl                    (2.125 2.885)         MR270
C45      47nF               C0603           rcl                    (2.38 3.13)           MR90
C46      100nF              C0603           rcl                    (2.445 2.885)         MR270
C47      47nF               C0603           rcl                    (2.7 3.13)            MR90
C48      100nF              C0603           rcl                    (2.765 2.885)         MR270
C49      47nF               C0603           rcl                    (3.02 3.13)           MR90
C50      1uF                C0603           rcl                    (2.85 3.685)          MR180
C51      100nF              C0603           rcl                    (3.425 2.885)         MR270
C52      47nF               C0603           rcl                    (3.665 3.135)         MR90
C53      100nF              C0603           rcl                    (3.73 2.885)          MR270
C54      47nF               C0603           rcl                    (3.985 3.135)         MR90
C55      100nF              C0603           rcl                    (4.05 2.885)          MR270
C56      47nF               C0603           rcl                    (4.305 3.135)         MR90
C57      220nF              C0603           rcl                    (4.285 2.205)         MR180
C58      100nF              C0603           rcl                    (4.415 2.09)          MR180
C59      2.2nF              C0603           rcl                    (4.36 1.97)           MR270
C60      10nF               C0603           rcl                    (4.22 1.845)          MR270
C61      100nF              C0603           rcl                    (4 1.925)             MR270
C62      10nF               C0603           rcl                    (3.98 2.03)           MR0
C63      100nF              C0603           rcl                    (3.515 1.86)          MR0
C64      100nF              C0603           rcl                    (3.54 1.78)           MR0
C65      100nF              C0603           rcl                    (2.649 2.061)         MR270
C66      100nF              C0603           rcl                    (4.3 0.66)            MR90
C67      47nF               C0603           rcl                    (4.06 0.41)           MR270
C68      100nF              C0603           rcl                    (3.995 0.66)          MR90
C69      47nF               C0603           rcl                    (3.74 0.41)           MR270
C70      100nF              C0603           rcl                    (3.675 0.66)          MR90
C71      47nF               C0603           rcl                    (3.42 0.41)           MR270
C72      100nF              C0603           rcl                    (2.558 0.649)         MR270
C73      100nF              C0603           rcl                    (1.835 0.91)          MR0
C74      100nF              C0603           rcl                    (1.55 0.65)           MR90
C75      47nF               C0603           rcl                    (1.3 0.395)           MR270
C76      100nF              C0603           rcl                    (1.235 0.65)          MR90
C77      47nF               C0603           rcl                    (0.98 0.395)          MR270
C78      100nF              C0603           rcl                    (0.625 0.64)          MR90
C79      47nF               C0603           rcl                    (0.385 0.395)         MR270
D1       MMBD4448HTW        MMBD4448HTW     Diode-Array            (1.27 2.965)          R90
D2       MMBD4448HTW        MMBD4448HTW     Diode-Array            (2.235 2.955)         R270
D3       MMBD4448HTW        MMBD4448HTW     Diode-Array            (3.58 2.96)           R270
D4       MMBD4448HTW        MMBD4448HTW     Diode-Array            (3.365 0.56)          R270
D5       SMBJP6KE18A-TP     SMBJ            power                  (2.095 0.62)          R270
D6       MBRX160-TP         SOD123          diode                  (0.522 1.455)         R0
D7       BAS16H             SOD323-W        diode                  (0.576 1.791)         R0
D8       MMBD4448HTW        MMBD4448HTW     Diode-Array            (1.64 0.55)           R90
D9       MBRX160-TP         SOD123          diode                  (1.859 0.711)         MR270
D10      CDSOD323-T15SC     SOD-323         CDSOD323-TxxSC         (2.61444882 0.48283465) R180
F1       2x BK6011 [30A]    FUSE_MINI_ATC   power                  (2.215 0.875)         R180
F2       SF-1206F100-2      F1206           power                  (1.985 0.69)          MR270
H1                          MOUNTING_HOLE   Mounting_Hole          (4.7 3.8)             R0
J1       0528520870         0528520870      con-robocup            (0.125 2.03)          R270
J2       MINI-USB           UX60A-MB-5ST    con-robocup            (4.655 1.7)           R180
