"Qty";"Value";"Device";"Package";"Parts";"Description";"DIGIKEY";"MPN";"PINS";"PIN_PITCH";"SPICEPREFIX";"VALUE";
"1";"!BTN_CHG_PRE_EXT";"CONN-2VERT";"1X2";"J9";"";"";"";"";"";"";"";
"1";"!BTN_CHP_PRE_EXT";"CONN-2VERT";"1X2";"J8";"";"";"";"";"";"";"";
"1";"!BTN_KCK_PRE_EXT";"CONN-2VERT";"1X2";"J7";"";"";"";"";"";"";"";
"5";"0.1uF";"C-USC0603";"C0603";"C13, C20, C25, C27, C28";"CAPACITOR, American symbol";"";"";"";"";"";"";
"1";"0.1uF 35V";"C-USC0603";"C0603";"C21";"CAPACITOR, American symbol";"";"";"";"";"";"";
"2";"0.1uF 50V";"C-USC0603";"C0603";"C23, C24";"CAPACITOR, American symbol";"";"";"";"";"";"";
"1";"1.2";"R-US_R0805";"R0805";"R56";"RESISTOR, American symbol";"";"";"";"";"";"";
"1";"1.5k 35W";"PWR263S-35TO-263AB";"TO508P1539X450-3";"R38";"";"";"";"";"";"";"";
"1";"1.62k 1%";"R-US_R0805";"R0805";"R14";"RESISTOR, American symbol";"";"";"";"";"";"";
"4";"1000uF";"CPOL-USE10-25";"EB25D";"C7, C8, C12, C14";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"C";"";
"1";"100k";"R-US_R0402";"R0402";"R59";"RESISTOR, American symbol";"";"";"";"";"R";"";
"4";"100k";"R-US_R0603";"R0603";"R4, R19, R35, R57";"RESISTOR, American symbol";"";"";"";"";"";"";
"1";"100pF 180V";"C-USC0805";"C0805";"C26";"CAPACITOR, American symbol";"";"";"";"";"";"";
"10";"10k";"R-US_R0603";"R0603";"R39, R40, R41, R42, R43, R50, R51, R52, R53, R54";"RESISTOR, American symbol";"";"";"";"";"";"";
"1";"10k 1%";"R-US_R0603";"R0603";"R2";"RESISTOR, American symbol";"";"";"";"";"";"";
"2";"10pF";"C-USC0603";"C0603";"C15, C29";"CAPACITOR, American symbol";"";"";"";"";"";"";
"6";"10uF (X7R)";"C-USC1210";"C1210";"C16, C17, C18, C19, C30, C31";"CAPACITOR, American symbol";"";"";"";"";"C";"";
"1";"10uF 50V";"C-USC1206";"C1206";"C1";"CAPACITOR, American symbol";"";"";"";"";"C";"";
"1";"110k 1%";"R-US_R0603";"R0603";"R1";"RESISTOR, American symbol";"";"";"";"";"";"";
"1";"15V";"MIC5235YM5SOT-23-5";"SOT95P280X145-5";"U2";"";"";"";"";"";"";"";
"3";"160";"R-US_R0603";"R0603";"R3, R58, R65";"RESISTOR, American symbol";"";"";"";"";"";"";
"2";"160";"R-US_R1206";"R1206";"R44, R45";"RESISTOR, American symbol";"";"";"";"";"R";"";
"1";"160k 1%";"R-US_R0402";"R0402";"R61";"RESISTOR, American symbol";"";"";"";"";"R";"";
"5";"162";"R-US_R0603";"R0603";"R21, R22, R23, R24, R32";"RESISTOR, American symbol";"";"";"";"";"";"";
"1";"18.2k 1%";"R-US_R0805";"R0805";"R15";"RESISTOR, American symbol";"";"";"";"";"";"";
"1";"187k";"R-US_R1206";"R1206";"R63";"RESISTOR, American symbol";"";"";"";"";"";"";
"1";"1k";"R-US_R0603";"R0603";"R20";"RESISTOR, American symbol";"";"";"";"";"";"";
"1";"1k";"R-US_R0603";"R0603";"R26";"RESISTOR, American symbol";"";"";"";"";"R";"";
"3";"1uF";"C-USC0603";"C0603";"C3, C4, C9";"CAPACITOR, American symbol";"";"";"";"";"";"";
"1";"1uF";"C-USC0603";"C0603";"C5";"CAPACITOR, American symbol";"";"";"";"";"C";"";
"1";"2-PIN_2MM-H";"2-PIN_2MM-H";"2MM-2-H";"J5";"";"";"";"2";"2.0 mm";"";"";
"1";"2.2uF";"C-USC0603";"C0603";"C6";"CAPACITOR, American symbol";"";"";"";"";"C";"";
"5";"2.7k";"R-US_R0603";"R0603";"R5, R6, R7, R8, R66";"RESISTOR, American symbol";"";"";"";"";"";"";
"1";"22uF 10V";"C-USC0603";"C0603";"C2";"CAPACITOR, American symbol";"";"";"";"";"C";"";
"1";"22uF 35V";"C-USC0805";"C0805";"C22";"CAPACITOR, American symbol";"";"";"";"";"";"";
"4";"261";"R-US_R0603";"R0603";"R25, R27, R29, R33";"RESISTOR, American symbol";"";"";"";"";"";"";
"1";"261";"R-US_R0603";"R0603";"R28";"RESISTOR, American symbol";"";"";"";"";"R";"";
"1";"270k";"R-US_R0603";"R0603";"R34";"RESISTOR, American symbol";"";"";"";"";"";"";
"2";"294k 1%";"R-US_R0805";"R0805";"R9, R11";"RESISTOR, American symbol";"";"";"";"";"";"";
"1";"3-PIN_2MM-H";"3-PIN_2MM-H";"2MM-3-H";"J6";"";"";"";"3";"2.0 mm";"";"";
"1";"30.1k 1%";"R-US_R0402";"R0402";"R62";"RESISTOR, American symbol";"";"";"";"";"R";"";
"1";"30A";"3557-2";"3557-2";"XF1";"";"36-3557-2-ND";"3557-2";"";"";"";"";
