Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "radio-v3.0.brd" as of: 4/1/19 11:49 PM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,1.126,1.637,180
C2,Top,1.790,1.024,0
C3,Top,1.791,0.885,0
C4,Bottom,2.554,1.331,0
C5,Top,2.587,1.302,270
C6,Bottom,2.554,0.925,0
C7,Top,1.533,2.238,0
C8,Top,2.728,1.346,0
C9,Top,1.790,1.162,0
C10,Top,1.791,1.299,0
C11,Top,1.533,2.025,0
C12,Bottom,1.442,1.549,0
C13,Top,1.569,1.851,90
C14,Bottom,1.442,1.463,0
C15,Bottom,1.588,0.800,90
D1,Top,1.732,2.027,0
D2,Top,1.673,2.027,0
D3,Top,1.605,1.593,90
D4,Top,1.605,1.668,90
D5,Top,2.622,0.591,180
D6,Top,2.622,0.713,0
D7,Top,1.443,1.669,270
D8,Top,1.444,1.591,270
D9,Top,1.717,0.591,180
D10,Top,1.717,0.713,0
J2,Top,2.697,0.276,90
J3,Top,1.791,0.276,90
R1,Top,1.117,2.198,0
R2,Top,1.117,2.287,0
R3,Top,1.405,1.893,0
R4,Top,1.292,1.861,90
R5,Top,1.736,1.851,270
R6,Top,1.653,1.851,270
R7,Bottom,1.630,1.445,90
R8,Bottom,1.630,1.579,90
R9,Bottom,2.382,0.815,270
R10,Bottom,2.469,0.815,270
R11,Bottom,1.543,1.445,90
R12,Bottom,1.543,1.579,90
R13,Bottom,1.717,1.000,180
R14,Bottom,1.717,0.913,180
SB1,Bottom,2.468,1.163,0
SB2,Bottom,1.173,0.878,0
SB3,Bottom,2.468,1.074,180
SB4,Bottom,1.174,0.791,180
U1,Top,2.244,0.945,270
U2,Top,1.330,2.087,0
U3,Top,1.339,0.945,270
