Partlist

Exported from control-2008-a.brd at 12/27/2014 11:47:06 PM

EAGLE Version 6.5.0 Copyright (c) 1988-2013 CadSoft

Assembly variant: 

Part     Value              Package      Library      Position (inch)       Orientation

C1       10uF               C1206        rcl          (4.747 1.524)         MR90
C2       10uF               C1206        rcl          (3.856 1.728)         MR90
C3       470uF              PANASONIC_E  rcl          (0.978 0.35)          R270
C4       470uF              PANASONIC_E  rcl          (1.4 3.425)           R90
C5       470uF              PANASONIC_E  rcl          (4.35 3.425)          R90
C6       470uF              PANASONIC_E  rcl          (4.36 0.351)          R270
C7       470uF              PANASONIC_E  rcl          (2.775 3.425)         R90
C8       470uF              PANASONIC_E  rcl          (2.4 3.425)           R90
C9       470uF              PANASONIC_E  rcl          (2.025 3.425)         R90
C10      470uF              PANASONIC_E  rcl          (3.6 0.35)            R270
C11      470uF              PANASONIC_E  rcl          (3.595 3.425)         R90
C12      470uF              PANASONIC_E  rcl          (0.65 3.425)          R90
C13      470uF              PANASONIC_E  rcl          (1.353 0.35)          R270
C14      470uF              PANASONIC_E  rcl          (0.603 0.35)          R270
C15      470uF              PANASONIC_E  rcl          (1.025 3.425)         R90
C16      470uF              PANASONIC_E  rcl          (3.975 3.425)         R90
C17      470uF              PANASONIC_E  rcl          (3.975 0.35)          R270
C18      0.1uF              C0603        rcl          (0.316 0.708)         MR270
C19      0.1uF              C0603        rcl          (0.478 3.263)         MR270
C20      0.1uF              C0603        rcl          (4.646 3.128)         MR90
C21      0.1uF              C0603        rcl          (4.63 0.454)          MR90
C22      0.1uF              C0603        rcl          (1.963 3.923)         MR90
C23      0.1uF              C0603        rcl          (2.529 2.172)         MR270
C24      0.1uF              C0603        rcl          (2.532 1.755)         MR90
C25      0.1uF              C0603        rcl          (1.939 0.669)         MR270
C26      0.01uF             C0603        rcl          (0.561 1.227)         MR270
C27      0.01uF             C0603        rcl          (0.878 1.43)          R90
C28      1uF                C0603        rcl          (1.018 1.27)          R0
C29      1uF                C0603        rcl          (0.696 1.373)         MR180
C30      1uF                C0603        rcl          (0.833 1.224)         MR270
C31      1uF                C0603        rcl          (1.163 1.426)         R90
C32      0.01uF             C0603        rcl          (0.856 1.273)         R270
C33      1uF                C0603        rcl          (0.724 1.451)         R180
C34      1uF                C0603        rcl          (0.597 1.273)         R270
C35      100pf              C0603        rcl          (4.18 2.517)          R163
C36      100pf              C0603        rcl          (4.552 2.554)         R209
C37      100pf              C0603        rcl          (4.355 2.266)         R270
C38      100pF              C0603        rcl          (2.692 1.091)         MR270
C39      1000pF             C0603        rcl          (4.161 2.263)         R90
C40      1000pF             C0603        rcl          (4.543 2.265)         R90
C41      10uF               C1206        rcl          (0.959 1.929)         R270
C42      470uF              PANASONIC_E  rcl          (0.671 1.863)         R90
C43      0.01uF             C0603        rcl          (1.226 2.188)         R0
C44      10uF               C1206        rcl          (1.108 1.756)         R180
C45      0.1uF              C0603        rcl          (2.285 1.435)         MR90
C46      0.1uF              C0603        rcl          (2.706 1.624)         MR270
C47      0.1uF              C0603        rcl          (3.013 1.715)         MR180
C48      0.1uF              C0603        rcl          (2.595 1.625)         MR270
C49      0.1uF              C0603        rcl          (2.833 1.834)         MR0
C50      0.1uF              C0603        rcl          (2.768 2.035)         MR180
C51      0.1uF              C0603        rcl          (2.477 2.028)         MR0
C52      0.1uF              C0603        rcl          (2.554 1.084)         MR270
C53      0.1uF              C0603        rcl          (3.01 1.86)           MR180
C54      0.1uF              C0603        rcl          (0.316 1.329)         R180
C55      0.1uF              C0603        rcl          (2.58 2.346)          MR90
C56      0.1uF              C0603        rcl          (2.7 2.346)           MR90
C57      0.1uF              C0603        rcl          (3.01 2.069)          MR180
C58      0.1uF              C0603        rcl          (2.28 2.032)          MR0
C59      0.1uF              C0603        rcl          (2.284 2.242)         MR0
C60      0.1uF              C0603        rcl          (2.283 1.88)          MR0
C61      0.1uF              C0603        rcl          (2.612 1.194)         MR180
C62      0.1uF              C0603        rcl          (2.372 1.118)         MR0
C63      0.1uF              C0603        rcl          (2.422 1.402)         MR180
C67      0.1uF              C0603        rcl          (2.416 1.882)         MR180
C68      0.1uF              C0603        rcl          (2.834 2.123)         MR0
C71      0.1uF              C0603        rcl          (2.768 1.93)          MR180
D1       MBR120LSF          SOD123       diode        (1.06 2.008)          R270
DBST     BAS16H             SOD323-W     diode        (1.256 2.291)         R0
DIN      MBR120LSF          SOD123       diode        (1.514 1.606)         R0
JP1                         JP2          jumper       (3.191 0.648)         R180
LED1                        CHIP-LED0603 led          (3.175 1.4)           R0
LED2                        CHIP-LED0603 led          (1.795 3.963)         R0
LED3                        CHIP-LED0603 led          (1.659 3.962)         R0
LED4                        CHIP-LED0603 led          (3.277 0.242)         R180
LED5                        CHIP-LED0603 led          (3.38 0.242)          R180
LED6                        CHIP-LED0603 led          (1.619 0.191)         R0
M_SEL                       JP2          jumper       (3.191 0.88)          R0
R1       4.7K               R0603        rcl          (0.317 1.216)         R180
R2       4.7K               R0603        rcl          (0.319 1.441)         R0
R3       220                R0603        rcl          (1.167 3.905)         MR90
R4       220                R0603        rcl          (1.305 3.905)         MR90
R5       470                R0603        rcl          (0.835 2.093)         R90
R6       220                R0603        rcl          (1.446 3.905)         MR90
R7       4.7K               R0603        rcl          (2.081 2.403)         R180
R8       4.7K               R0603        rcl          (1.964 0.874)         R0
R9       10                 R0603        rcl          (4.747 1.301)         MR90
R10      10                 R0603        rcl          (3.856 1.535)         MR90
R11      220                R0603        rcl          (1.795 3.799)         R90
R12      220                R0603        rcl          (1.659 3.799)         R90
R13      220                R0603        rcl          (3.098 1.522)         R270
R14      220                R0603        rcl          (3.276 0.385)         R270
R15      220                R0603        rcl          (3.378 0.385)         R270
R16      1K                 R0603        rcl          (1.379 1.314)         MR90
R17      1K                 R0603        rcl          (1.749 0.128)         R90
R18      220                R0603        rcl          (0.796 0.239)         MR90
R19      220                R0603        rcl          (1.142 0.662)         MR90
R20      4.7K               R0603        rcl          (0.915 0.756)         R90
R21      4.7K               R0603        rcl          (1.061 0.756)         R90
R22      220                R0603        rcl          (0.42 0.236)          MR90
R23      220                R0603        rcl          (0.773 0.666)         MR90
R24      4.7K               R0603        rcl          (0.579 0.759)         R90
R25      4.7K               R0603        rcl          (0.725 0.759)         R90
R26      220                R0603        rcl          (1.167 0.239)         MR90
R27      220                R0603        rcl          (1.52 0.664)          MR90
R28      4.7K               R0603        rcl          (1.285 0.757)         R90
R29      4.7K               R0603        rcl          (1.454 0.757)         R90
R30      220                R0603        rcl          (1.451 3.073)         R270
R31      220                R0603        rcl          (1.225 3)             MR270
R32      4.7K               R0603        rcl          (1.48 2.645)          MR90
R33      4.7K               R0603        rcl          (1.33 2.645)          MR90
R34      220                R0603        rcl          (1.2 3.175)           MR270
R35      220                R0603        rcl          (0.86 3.071)          MR270
R36      4.7K               R0603        rcl          (1.112 2.649)         MR90
R37      4.7K               R0603        rcl          (0.948 2.653)         MR90
R38      220                R0603        rcl          (0.837 3.445)         MR270
