Partlist

Exported from control-2011-a.brd at 10/16/2014 2:52:24 AM

EAGLE Version 6.5.0 Copyright (c) 1988-2013 CadSoft

Assembly variant: 

Part     Value              Package         Library          Position (inch)       Orientation

BZ1      PS12               PS12            tdk              (1.24 2.475)          R90
C1       10uF               C0603           rcl              (0.84 2.195)          R270
C2       0.1uF              C0603           rcl              (1.125 0.825)         MR90
C3       470uF              PANASONIC_E     rcl              (0.978 0.33)          R270
C4       470uF              PANASONIC_E     rcl              (1.4 3.405)           R90
C5       470uF              PANASONIC_E     rcl              (4.35 3.405)          R90
C6       470uF              PANASONIC_E     rcl              (4.36 0.331)          R270
C7       470uF              PANASONIC_E     rcl              (3.215 3.405)         R90
C8       470uF              PANASONIC_E     rcl              (2.84 3.405)          R90
C9       470uF              PANASONIC_E     rcl              (2.465 3.405)         R90
C10      470uF              PANASONIC_E     rcl              (3.6 0.33)            R270
C11      470uF              PANASONIC_E     rcl              (3.595 3.405)         R90
C12      470uF              PANASONIC_E     rcl              (0.65 3.405)          R90
C13      470uF              PANASONIC_E     rcl              (1.353 0.33)          R270
C14      470uF              PANASONIC_E     rcl              (0.603 0.33)          R270
C15      470uF              PANASONIC_E     rcl              (1.025 3.405)         R90
C16      470uF              PANASONIC_E     rcl              (3.975 3.405)         R90
C17      470uF              PANASONIC_E     rcl              (3.975 0.33)          R270
C18      33pF               C0603           rcl              (4.48 1.745)          R270
C19      10nF               C0603           rcl              (3.955 1.415)         R270
C20      1nF                C0603           rcl              (3.79 1.415)          R270
C21      0.1uF              C0603           rcl              (1.25 2.9)            MR270
C22      0.1uF              C0603           rcl              (4.205 2.9)           MR270
C23      0.1uF              C0603           rcl              (2.162 1.496)         MR0
C24      0.1uF              C0603           rcl              (2.232 1.595)         MR90
C25      0.1uF              C0603           rcl              (4.366 1.164)         R270
C26      0.1uF              C0603           rcl              (4.505 0.83)          MR90
C27      0.1uF              C0603           rcl              (3.07 2.9)            MR270
C28      0.1uF              C0603           rcl              (2.695 2.9)           MR270
C29      0.1uF              C0603           rcl              (4.12 0.83)           MR90
C30      0.1uF              C0603           rcl              (2.32 2.9)            MR270
C31      1uF                C0603           rcl              (0.726 2.602)         R0
C32      0.1uF              C0603           rcl              (3.745 0.825)         MR90
C33      0.1uF              C0603           rcl              (3.45 2.9)            MR270
C34      1uF                C0603           rcl              (0.727 2.417)         R0
C35      0.1uF              C0603           rcl              (3.825 2.9)           MR270
C36      0.1uF              C0603           rcl              (0.875 2.9)           MR270
C37      0.1uF              C0603           rcl              (0.5 2.9)             MR270
C38      0.1uF              C0603           rcl              (1.505 0.825)         MR90
C39      0.1uF              C0603           rcl              (0.755 0.825)         MR90
C40      1nF                C0603           rcl              (1.845 0.635)         R270
C41      1uF                C0603           rcl              (0.584 1.574)         R270
C42      470uF              PANASONIC_E     rcl              (0.59 1.3)            R0
C43      0.01uF             C0603           rcl              (0.683 1.724)         R270
C44      10uF               C0805           rcl              (1.002 1.914)         R0
C45      1nF                C0603           rcl              (1.735 0.89)          R90
C46      0.1uF              C0603           rcl              (2.199 2.029)         MR0
C47      0.1uF              C0603           rcl              (2.207 1.71)          MR0
C48      0.1uF              C0603           rcl              (1.69 1.82)           MR270
C49      0.1uF              C0603           rcl              (1.709 1.602)         MR90
C50      0.1uF              C0603           rcl              (2.062 2.095)         MR0
C51      0.1uF              C0603           rcl              (1.798 1.497)         MR180
C52      1uF                C0603           rcl              (4.51 1.555)          MR270
C53      0.1uF              C0603           rcl              (2.025 1.035)         MR0
C54      0.1uF              C0603           rcl              (2.799 2.271)         MR270
C55      100nF              C0603           rcl              (4.595 1.83)          MR180
C57      100nF              C0603           rcl              (4.66 1.955)          MR180
C58      100nF              C0603           rcl              (4.41 1.955)          MR0
C59      2.2nF              C0603           rcl              (4.39 2.29)           MR0
C60      0.1uF              C0603           rcl              (1.988 1.495)         MR0
C64      10uF               C0603           rcl              (1.295 1.345)         R180
C65      1nF                C0603           rcl              (1.655 3.18)          R180
C66      1nF                C0603           rcl              (1.795 3.16)          R270
C67      0.1uF              C0603           rcl              (1.786 2.037)         MR180
C68      0.1uF              C0603           rcl              (2.232 1.924)         MR270
C69      1nF                C0603           rcl              (1.86 2.8)            R90
C70      1nF                C0603           rcl              (1.845 2.66)          R180
C71      0.1uF              C0603           rcl              (1.788 1.955)         MR180
C72      1nF                C0603           rcl              (3.42 0.92)           R0
C73      1nF                C0603           rcl              (3.175 0.815)         R180
C74      1nF                C0603           rcl              (2.035 3.565)         R180
C75      1nF                C0603           rcl              (1.985 3.205)         R270
C76      0.1uF              C0603           rcl              (3.585 1.785)         MR90
C77      0.1uF              C0603           rcl              (3.69 1.99)           MR0
C78      0.1uF              C0603           rcl              (3.69 1.83)           MR0
C79      0.1uF              C0603           rcl              (3.69 1.91)           MR0
C80      0.1uF              C0603           rcl              (3.48 1.785)          MR90
C81      0.1uF              C0603           rcl              (3.525 1.98)          MR270
D1       MBR120VLSFT1G      SOD123          diode            (0.757 1.59)          R0
D2       MBR120VLSFT1G      SOD123          diode            (1.966 0.861)         R270
D3       BAS16H             SOD323-W        diode            (0.811 1.926)         R0
D4       564-0100-132F      DIALIGHT-564    led-array        (3.225 0.095)         R0
D5       564-0100-132F      DIALIGHT-564    led-array        (3.03 0.095)          R0
F1       2x BK6011          FUSE_MINI_ATC   power            (2.265 0.635)         R0
F2       MFU0805FF01000P100 F0805           power            (2.13 0.785)          R180
J1       1-84952-2          84952/3         tyco             (0.25 2.015)          R270
J2       MINI-USB           UX60A-MB-5ST    con-robocup      (4.805 1.83)          R180
J3       2MM-2H             2MM-2-H         2mm              (3.48 3.91)           R0
J4       FH_11_H            FH_11_HOR       hirose           (0.3 0.73)            R90
J5       FH_11_H            FH_11_HOR       hirose           (0.3 3.25)            R90
J6       FH_11_H            FH_11_HOR       hirose           (4.7 3.25)            R270
J7       FH_11_H            FH_11_HOR       hirose           (4.7 0.73)            R270
J8       MMCX_RA            MMCX_RA         radio            (4.89 2.32)           R0
J9       2MM-2H             2MM-2-H         2mm              (1.77 3.91)           R0
J10      2MM-6H             2MM-6-H         2mm              (2.39 3.91)           R0
J11      JST_VH_2           JST_VH_2        jst_vh           (2.76 0.22)           R0
J12      2MM-4V             2MM-4-V         2mm              (0.915 1.405)         R90
J13      2MM-4H             2MM-4-H         2mm              (0.23 1.45)           R90
J14      2MM-4H             2MM-4-H         2mm              (0.23 2.805)          R90
J15      2MM-4H             2MM-4-H         2mm              (4.78 2.57)           R270
J16      2MM-4H             2MM-4-H         2mm              (4.78 1.21)           R270
J17      2MM-8H             2MM-8-H         2mm              (3.17 3.91)           R0
J18                         MA09-1          con-lstb         (4.23 1.92)           R270
J19      JST_VH_2           JST_VH_2        jst_vh           (1.765 0.22)          R0
J20      2MM-5V             2MM-5-V         2mm              (2.23 1.01)           R180
L1       SDR0403-270KL      SDR0403         power            (0.855 1.755)         R180
LED1                        CHIP-LED0603    led              (2.525 2.255)         R270
