Partlist

Exported from control-2011-c.brd at 10/16/2014 2:49:54 AM

EAGLE Version 6.5.0 Copyright (c) 1988-2013 CadSoft

Assembly variant: 

Part     Value              Package         Library          Position (inch)       Orientation

BZ1      PS12               PS12            tdk              (1.09 2.345)          R90
C1       10uF               C0805           rcl              (0.68 2.065)          R270
C2       100nF              C0603           rcl              (1.245 0.695)         MR90
C3       1uF                C0603           rcl              (2.845 3.685)         MR180
C4       470uF 25V          PANASONIC_G     rcl              (0.87 3.275)          R90
C5       470uF 25V          PANASONIC_G     rcl              (4.2 3.275)           R90
C6       100nF              C0603           rcl              (4.415 2.09)          MR180
C7       470uF 25V          PANASONIC_G     rcl              (2.695 3.275)         R90
C8       10nF               C0603           rcl              (3.98 2.03)           MR0
C9       2.2nF              C0603           rcl              (4.36 1.97)           MR270
C10      470uF 25V          PANASONIC_G     rcl              (3.45 0.2)            R270
C11      10nF               C0603           rcl              (4.22 1.845)          MR270
C12      220nF              C0603           rcl              (4.285 2.205)         MR180
C13      100pF              C0603           rcl              (4.595 2.165)         R90
C14      470uF 25V          PANASONIC_G     rcl              (0.403 0.2)           R270
C15      27pF               C0603           rcl              (4.095 1.85)          R90
C16      27pF               C0603           rcl              (4.345 1.85)          R270
C17      100nF              C0603           rcl              (4 1.925)             MR270
C18      33pF               C0603           rcl              (4.34 1.685)          R270
C19      10nF               C0603           rcl              (3.75 1.285)          R270
C20      1nF                C0603           rcl              (3.585 1.285)         R270
C21      100nF              C0603           rcl              (1.1 2.77)            MR270
C22      100nF              C0603           rcl              (4.055 2.77)          MR270
C23      100nF              C0603           rcl              (2.012 1.366)         MR0
C24      100nF              C0603           rcl              (2.082 1.465)         MR90
C25      100nF              C0603           rcl              (2.545 0.635)         MR270
C26      100nF              C0603           rcl              (4.355 0.7)           MR90
C27      100nF              C0603           rcl              (2.92 2.77)           MR270
C28      100nF              C0603           rcl              (2.545 2.77)          MR270
C29      100nF              C0603           rcl              (3.97 0.7)            MR90
C30      100nF              C0603           rcl              (2.17 2.77)           MR270
C31      1uF                C0603           rcl              (0.576 2.472)         R0
C32      100nF              C0603           rcl              (3.595 0.695)         MR90
C33      100nF              C0603           rcl              (3.3 2.77)            MR270
C34      1uF                C0603           rcl              (0.577 2.287)         R0
C35      100nF              C0603           rcl              (3.675 2.77)          MR270
C36      100nF              C0603           rcl              (0.725 2.77)          MR270
C37      100nF              C0603           rcl              (0.35 2.77)           MR270
C38      100nF              C0603           rcl              (1.625 0.695)         MR90
C39      100nF              C0603           rcl              (0.555 0.695)         MR90
C40      500R07S1R8BV4T     C0402           rcl              (4.595 2.01)          R270
C41      1uF 35V            C0805           rcl              (0.501 1.379)         R0
C42      100uF 25V          PANASONIC_E     rcl              (0.44 1.17)           R0
C43      10nF               C0603           rcl              (0.448 1.589)         R270
C44      22uF 6.3V          C1206           rcl              (0.787 1.784)         R0
C46      100nF              C0603           rcl              (2.049 1.899)         MR0
C47      100nF              C0603           rcl              (2.057 1.58)          MR0
C48      100nF              C0603           rcl              (1.54 1.69)           MR270
C49      100nF              C0603           rcl              (1.559 1.472)         MR90
C50      100nF              C0603           rcl              (1.912 1.965)         MR0
C51      100nF              C0603           rcl              (1.648 1.367)         MR180
C52      100nF              C0603           rcl              (1.82 3.26)           MR180
C53      100nF              C0603           rcl              (1.835 0.91)          MR0
C54      100nF              C0603           rcl              (2.649 2.061)         MR270
C55      100nF              C0603           rcl              (1.71 3.355)          R90
C56      100nF              C0603           rcl              (0.8 1.565)           R270
C57      100nF              C0603           rcl              (1.645 3.02)          R270
C58      100nF              C0603           rcl              (1.755 3.18)          R180
C59      2.2nF              C0603           rcl              (1.735 2.85)          R180
C60      100nF              C0603           rcl              (1.838 1.365)         MR0
C67      100nF              C0603           rcl              (1.636 1.907)         MR180
C68      100nF              C0603           rcl              (2.082 1.794)         MR270
C71      100nF              C0603           rcl              (1.638 1.825)         MR180
C77      100nF              C0603           rcl              (3.515 1.86)          MR0
C79      100nF              C0603           rcl              (3.54 1.78)           MR0
D1       MBRX160-TP         SOD123          diode            (0.522 1.455)         R0
D2       MBRX160-TP         SOD123          diode            (1.771 0.509)         MR90
D3       BAS16H             SOD323-W        diode            (0.576 1.791)         R0
D4       564-0100-132F      DIALIGHT-564    led-array        (2.625 -0.04)         R0
D5       564-0100-132F      DIALIGHT-564    led-array        (2.45 -0.04)          R0
D6       SMBJP6KE18A-TP     SMBJ            power            (0.8 0.57)            MR180
F1       2x BK6011          FUSE_MINI_ATC   power            (2.21 0.89)           R0
F2       SF-1206F100-2      F1206           power            (1.775 0.75)          MR270
J1       0528520870         0528520870      con-robocup      (0.125 2.03)          R270
J2       MINI-USB           UX60A-MB-5ST    con-robocup      (4.655 1.7)           R180
J3       2MM-2H             2MM-2-H         2mm              (2.895 3.79)          R0
J4       Molex 0522711179   FH_11_HOR       hirose           (0.15 0.6)            R90
J5       Molex 0522711179   FH_11_HOR       hirose           (0.15 3.16)           R90
J6       Molex 0522711179   FH_11_HOR       hirose           (4.55 3.16)           R270
J7       Molex 0522711179   FH_11_HOR       hirose           (4.55 0.6)            R270
J8       MMCX_RA            MMCX_RA         radio            (4.74 2.19)           R0
J9       2MM-3H             2MM-3-H         2mm              (1.125 3.79)          R0
J10      2MM-6H             2MM-6-H         2mm              (1.78 3.79)           R0
J11      JST_VH_2           JST_VH_2_RA     jst_vh           (3.005 0.095)         R0
J12      2MM-4V             2MM-4-V         2mm              (0.765 1.275)         R90
J13      2MM-4H             2MM-4-H         2mm              (0.08 1.32)           R90
J14      2MM-4H             2MM-4-H         2mm              (0.08 2.675)          R90
J15      2MM-4H             2MM-4-H         2mm              (4.63 2.44)           R270
J16      2MM-4H             2MM-4-H         2mm              (4.63 1.08)           R270
J17      2MM-8H             2MM-8-H         2mm              (2.56 3.79)           R0
J19      JST_VH_2           JST_VH_2_RA     jst_vh           (0.8 0.41)            R0
J20      2MM-5V             2MM-5-V         2mm              (1.625 0.33)          R90
L1       SDR0403-270KL      SDR0403         power            (0.62 1.62)           R180
L2       HZ0603B102R-10     C0603           radio            (1.615 3.145)         R270
L3       HZ0603B102R-10     C0603           radio            (1.625 3.355)         R270
L4       L-07C5N6SV6T       R0402           rcl              (4.515 2.085)         R0
L5       HZ0603B102R-10     C0603           radio            (3.88 2.205)          MR180
LED1                        CHIP-LED0603    led              (2.375 2.125)         R270
Q1       IRF9310TRPBF       SO8             onsemi           (1.098 0.045)         MR0
Q2       IRF8734TRPBF       SO8             onsemi           (1.098 0.355)         MR180
Q3       IRF9310TRPBF       SO8             onsemi           (1.25 3.435)          MR180
Q4       IRF8734TRPBF       SO8             onsemi           (1.25 3.12)           MR0
Q5       IRF9310TRPBF       SO8             onsemi           (4.2 3.43)            MR180
Q6       IRF8734TRPBF       SO8             onsemi           (4.2 3.12)            MR0
Q7       IRF9310TRPBF       SO8             onsemi           (4.21 0.046)          MR0
Q8       IRF8734TRPBF       SO8             onsemi           (4.21 0.356)          MR180
Q9       IRF9310TRPBF       SO8             onsemi           (3.065 3.425)         MR180
Q10      IRF8734TRPBF       SO8             onsemi           (3.065 3.12)          MR0
Q11      IRF9310TRPBF       SO8             onsemi           (0.403 0.045)         MR0
Q12      IRF8734TRPBF       SO8             onsemi           (0.403 0.355)         MR180
Q13      IRF9310TRPBF       SO8             onsemi           (0.875 3.435)         MR180
Q14      IRF8734TRPBF       SO8             onsemi           (0.875 3.12)          MR0
Q15      IRF9310TRPBF       SO8             onsemi           (3.825 3.43)          MR180
Q16      IRF8734TRPBF       SO8             onsemi           (3.825 3.12)          MR0
Q17      IRF9310TRPBF       SO8             onsemi           (3.825 0.045)         MR0
Q18      IRF8734TRPBF       SO8             onsemi           (3.825 0.355)         MR180
Q19      IRF9310TRPBF       SO8             onsemi           (2.69 3.43)           MR180
Q20      IRF8734TRPBF       SO8             onsemi           (2.69 3.12)           MR0
Q21      IRF9310TRPBF       SO8             onsemi           (1.473 0.045)         MR0
Q22      IRF8734TRPBF       SO8             onsemi           (1.473 0.355)         MR180
Q23      IRF9310TRPBF       SO8             onsemi           (0.5 3.435)           MR180
Q24      IRF8734TRPBF       SO8             onsemi           (0.5 3.12)            MR0
Q25      IRF9310TRPBF       SO8             onsemi           (3.45 3.43)           MR180
Q26      IRF8734TRPBF       SO8             onsemi           (3.45 3.12)           MR0
Q27      IRF9310TRPBF       SO8             onsemi           (3.45 0.045)          MR0
