Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C102, C103, C112, C115, C201, C202",603,7,100nF,
"C104, C105, C106, C107, C108, C116, C117, C118, C119, C120, C121",1206,11,10uF,
C109,1206,1,22uF,
C110,603,1,1uF,
C111,2220,1,47uF,
"C203, C204",603,2,0.1nF,
"D101, D102, D103, D104, D105, D106",603,6,GREEN,
"R101, R102, R103, R104, R105, R106, R201, R202",603,8,62,
"R107, R109, R110, R117, R119",603,5,1k,
R108,603,1,4.7k,
R111,1206,1,2m,
R112,603,1,270k,
"R113, R120, R121",603,3,100k,
R114,603,1,63.4k,
R115,603,1,160k,
R116,603,1,30.1k,
R118,603,1,10k,
U101,IC_STSPIN32F0A,1,STSPIN32F0A,
U105,SOT-23-5,1,INA180A3,
"U201, U202",SOP65P400X130-8N,2,SN74LVC3G17DCTR,
U203,SOIC127P600X175-16N,1,MC3486DR,
