Comment,Designator,Footprint,LCSC,Quantity
10uF,C49,C_1206_3216Metric,,1
5.6k,R35,R_0603_1608Metric,,1
STD140N6F7,Q29,DPAKTO-252_A2_STM,,1
10uF,C84,C_1206_3216Metric,,1
43.2k,R7,R_0603_1608Metric,,1
STD140N6F7,Q22,DPAKTO-252_A2_STM,,1
STD140N6F7,Q19,DPAKTO-252_A2_STM,,1
B3J-1100,SW1,B3J-1000,,1
10uF,C26,C_1206_3216Metric,,1
1k,R33,R_0603_1608Metric,,1
10uF,C69,C_1206_3216Metric,,1
0.1nF,C73,C_0603_1608Metric,,1
100nF,C15,C_0603_1608Metric,,1
39301080,J16,CON_39306088,,1
10uF,C41,C_1206_3216Metric,,1
100nF,C35,C_0603_1608Metric,,1
STSPIN32F0A,U10,IC_STSPIN32F0A,,1
22uF,C8,C_1206_3216Metric,,1
10uF,C106,C_1206_3216Metric,,1
100nF,C14,C_0603_1608Metric,,1
SN74LVC3G17DCUR,U17,SOP50P310X90-8N,,1
XT60PW-M,J15,XT60PWM,,1
10uF,C62,C_1206_3216Metric,,1
51k,R18,R_0603_1608Metric,,1
MPM3620GQV-P,U4,MPM3620GQVP,,1
10uF,C91,C_1206_3216Metric,,1
10uF,C64,C_1206_3216Metric,,1
1k,R32,R_0603_1608Metric,,1
GREEN,D3,D_0603_1608Metric,,1
220uF,C103,CP_Elec_6.3x7.7,,1
STSPIN32F0A,U22,IC_STSPIN32F0A,,1
1k,R10,R_0603_1608Metric,,1
100nF,C78,C_0603_1608Metric,,1
GREEN,D5,D_0603_1608Metric,,1
SN74LVC3G17DCUR,U13,SOP50P310X90-8N,,1
160k,R6,R_0603_1608Metric,,1
10uF,C81,C_1206_3216Metric,,1
Conn_01x02,J18,PinHeader_1x02_P2.54mm_Vertical,,1
5.6k,R80,R_0603_1608Metric,,1
220uF,C23,CP_Elec_6.3x7.7,,1
Conn_01x02,J27,PinHeader_1x02_P2.54mm_Vertical,,1
10uF,C25,C_1206_3216Metric,,1
MountingHole_Pad,H1,MountingHole_3.7mm_Pad,,1
100nF,C56,C_0603_1608Metric,,1
1k,R62,R_0603_1608Metric,,1
10k,R11,R_0603_1608Metric,,1
100nF,C95,C_0603_1608Metric,,1
STSPIN32F0A,U18,IC_STSPIN32F0A,,1
39301080,J22,CON_39306088,,1
STD140N6F7,Q26,DPAKTO-252_A2_STM,,1
120,R69,R_0603_1608Metric,,1
S8B-PH-SM4-TB,J28,CONN_S8B-PH-SM4-TB_JST,,1
10uF,C108,C_1206_3216Metric,,1
Conn_01x02,J21,PinHeader_1x02_P2.54mm_Vertical,,1
10uF,C24,C_1206_3216Metric,,1
SN74LVC3G17DCUR,U12,SOP50P310X90-8N,,1
10uF,C101,C_1206_3216Metric,,1
BSS123,Q35,SOT-23,,1
10uF,C89,C_1206_3216Metric,,1
100nF,C34,C_0603_1608Metric,,1
STD140N6F7,Q15,DPAKTO-252_A2_STM,,1
10uF,C2,C_1206_3216Metric,,1
MountingHole_Pad,H3,MountingHole_3.7mm_Pad,,1
100nF,C96,C_0603_1608Metric,,1
SN74LVC3G17DCUR,U16,SOP50P310X90-8N,,1
10uF,C71,C_1206_3216Metric,,1
10uF,C5,C_1206_3216Metric,,1
22uF,C3,C_1206_3216Metric,,1
1uF,C94,C_0603_1608Metric,,1
N2510-6002RB,J23,CONN_6002RB_3MM,,1
10uF,C68,C_1206_3216Metric,,1
10uF,C50,C_1206_3216Metric,,1
10k,R8,R_0603_1608Metric,,1
10uF,C18,C_1206_3216Metric,,1
160k,R17,R_0603_1608Metric,,1
N2510-6002RB,J17,CONN_6002RB_3MM,,1
3k,R9,R_0603_1608Metric,,1
10uF,C107,C_1206_3216Metric,,1
100nF,C97,C_0603_1608Metric,,1
N2510-6002RB,J20,CONN_6002RB_3MM,,1
STD140N6F7,Q33,DPAKTO-252_A2_STM,,1
52901-0274,J8,529010274,,1
52901-0274,J9,529010274,,1
SN74LVC3G17DCUR,U9,SOP50P310X90-8N,,1
100nF,C57,C_0603_1608Metric,,1
10uF,C70,C_1206_3216Metric,,1
52901-0274,J4,529010274,,1
SN75157DR,U19,SOIC127P599X175-8N,,1
100nF,C17,C_0603_1608Metric,,1
STD140N6F7,Q1,DPAKTO-252_A2_STM,,1
100nF,C36,C_0603_1608Metric,,1
10k,R52,R_0603_1608Metric,,1
10uF,C63,C_1206_3216Metric,,1
10uF,C67,C_1206_3216Metric,,1
10uF,C105,C_1206_3216Metric,,1
STD140N6F7,Q8,DPAKTO-252_A2_STM,,1
100nF,C77,C_0603_1608Metric,,1
10uF,C22,C_1206_3216Metric,,1
10uF,C90,C_1206_3216Metric,,1
39301080,J25,CON_39306088,,1
1k,R78,R_0603_1608Metric,,1
160k,R12,R_0603_1608Metric,,1
01530007Z,X1,FUSE_01530007Z,,1
STD140N6F7,Q12,DPAKTO-252_A2_STM,,1
JST_01x05,J11,JST_SH_BM05B-SRSS-TB_1x05-1MP_P1.00mm_Vertical,,1
10uF,C47,C_1206_3216Metric,,1
10nF,C79,C_1206_3216Metric,,1
10k,R22,R_0603_1608Metric,,1
10uF,C46,C_1206_3216Metric,,1
1k,R92,R_0603_1608Metric,,1
10uF,C45,C_1206_3216Metric,,1
10uF,C28,C_1206_3216Metric,,1
100nF,C76,C_0603_1608Metric,,1
100nF,C55,C_0603_1608Metric,,1
29.4k,R15,R_0603_1608Metric,,1
STD140N6F7,Q17,DPAKTO-252_A2_STM,,1
STD140N6F7,Q10,DPAKTO-252_A2_STM,,1
GREEN,D6,D_0603_1608Metric,,1
1k,R63,R_0603_1608Metric,,1
10uF,C60,C_1206_3216Metric,,1
N2510-6002RB,J26,CONN_6002RB_3MM,,1
10uF,C104,C_1206_3216Metric,,1
39301080,J19,CON_39306088,,1
120,R68,R_0603_1608Metric,,1
10uF,C85,C_1206_3216Metric,,1
1k,R77,R_0603_1608Metric,,1
STSPIN32F0A,U6,IC_STSPIN32F0A,,1
STD140N6F7,Q3,DPAKTO-252_A2_STM,,1
220uF,C86,CP_Elec_6.3x7.7,,1
GREEN,D4,D_0603_1608Metric,,1
1uF,C75,C_0603_1608Metric,,1
10uF,C87,C_1206_3216Metric,,1
Conn_01x02,J13,PinHeader_1x02_P2.54mm_Vertical,,1
5.6k,R36,R_0603_1608Metric,,1
STSPIN32F0A,U14,IC_STSPIN32F0A,,1
10uF,C83,C_1206_3216Metric,,1
GREEN,D8,D_0603_1608Metric,,1
10uF,C42,C_1206_3216Metric,,1
100nF,C13,C_0603_1608Metric,,1
30.1k,R13,R_0603_1608Metric,,1
52901-0274,J5,529010274,,1
VN5E006ASPTR-E,U3,SO_E006ASP-E_STM,,1
FSV10100V,U2,DIO_10100V_ONS,,1
10uF,C27,C_1206_3216Metric,,1
STD140N6F7,Q24,DPAKTO-252_A2_STM,,1
5.6k,R65,R_0603_1608Metric,,1
10uF,C100,C_1206_3216Metric,,1
0.1nF,C72,C_0603_1608Metric,,1
10uF,C29,C_1206_3216Metric,,1
MountingHole_Pad,H2,MountingHole_3.7mm_Pad,,1
10uF,C21,C_1206_3216Metric,,1
10uF,C39,C_1206_3216Metric,,1
5.6k,R81,R_0603_1608Metric,,1
10uF,C66,C_1206_3216Metric,,1
MPM3620GQV-P,U1,MPM3620GQVP,,1
GREEN,D2,D_0603_1608Metric,,1
GREEN,D1,D_0603_1608Metric,,1
Conn_01x02,J29,PinHeader_1x02_P2.54mm_Vertical,,1
MountingHole_Pad,H4,MountingHole_3.7mm_Pad,,1
10uF,C48,C_1206_3216Metric,,1
10uF,C88,C_1206_3216Metric,,1
10uF,C102,C_1206_3216Metric,,1
10uF,C43,C_1206_3216Metric,,1
10uF,C92,C_1206_3216Metric,,1
Conn_01x02,J24,PinHeader_1x02_P2.54mm_Vertical,,1
10uF,C99,C_1206_3216Metric,,1
5.6k,R66,R_0603_1608Metric,,1
10uF,C109,C_1206_3216Metric,,1
22uF,C4,C_1206_3216Metric,,1
10uF,C20,C_1206_3216Metric,,1
STD140N6F7,Q31,DPAKTO-252_A2_STM,,1
STD140N6F7,Q5,DPAKTO-252_A2_STM,,1
GREEN,D7,D_0603_1608Metric,,1
1k,R91,R_0603_1608Metric,,1
10m,R46,R_1206_3216Metric,,1
LTC2955-1,U5,SOT65P280X100-8N,,1
5.6k,R51,R_0603_1608Metric,,1
0.1nF,C51,C_0603_1608Metric,,1
100nF,C93,C_0603_1608Metric,,1
62,R74,R_0603_1608Metric,,1
0.1nF,C52,C_0603_1608Metric,,1
BSS123,Q28,SOT-23,,1
100nF,C32,C_0603_1608Metric,,1
1k,R3,R_0603_1608Metric,,1
120,R54,R_0603_1608Metric,,1
STD140N6F7,Q20,DPAKTO-252_A2_STM,,1
10m,R31,R_1206_3216Metric,,1
10m,R61,R_1206_3216Metric,,1
62,R75,R_0603_1608Metric,,1
STD140N6F7,Q2,DPAKTO-252_A2_STM,,1
5.6k,R50,R_0603_1608Metric,,1
100nF,C74,C_0603_1608Metric,,1
10nF,C16,C_1206_3216Metric,,1
STD140N6F7,Q30,DPAKTO-252_A2_STM,,1
STD140N6F7,Q18,DPAKTO-252_A2_STM,,1
1k,R16,R_0603_1608Metric,,1
62,R84,R_0603_1608Metric,,1
1k,R34,R_0603_1608Metric,,1
62,R85,R_0603_1608Metric,,1
BSS123,Q21,SOT-23,,1
STD140N6F7,Q32,DPAKTO-252_A2_STM,,1
100nF,C19,C_0603_1608Metric,,1
STD140N6F7,Q27,DPAKTO-252_A2_STM,,1
10k,R5,R_0603_1608Metric,,1
62,R41,R_0603_1608Metric,,1
STD140N6F7,Q11,DPAKTO-252_A2_STM,,1
62,R44,R_0603_1608Metric,,1
STD140N6F7,Q6,DPAKTO-252_A2_STM,,1
