Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C13, C14, C15, C17, C19, C32, C34, C35, C36, C38, C40, C53, C55, C56, C57, C59, C61, C74, C76, C77, C78, C80, C82, C93, C95, C96, C97, C98",0603,30,100nF,
"C10, C30, C31, C51, C52, C72, C73, C9",0603,8,0.1nF,
"C100, C101, C102, C104, C105, C106, C107, C108, C109, C18, C2, C20, C21, C22, C24, C25, C26, C27, C28, C29, C39, C41, C42, C43, C45, C46, C47, C48, C49, C5, C50, C60, C62, C63, C64, C66, C67, C68, C69, C70, C71, C81, C83, C84, C85, C87, C88, C89, C90, C91, C92, C99",1206,52,10uF,
"C103, C23, C44, C65, C86",CP_Elec_6.3x7.7,5,220uF,
"C12, C33, C54, C75, C94",0603,5,1uF,
"C16, C37, C58, C79",1206,4,10nF,
"C3, C4, C8",1206,3,22uF,
C6,0603,1,10nF,
C7,1206,1,470nF,
"D1, D2, D3, D4, D5, D6, D7, D8",0603,8,GREEN,
"H1, H2, H3, H4",MountingHole_3.7mm_Pad,4,MountingHole_Pad,
J11,JST_SH_BM05B-SRSS-TB_1x05-1MP_P1.00mm_Vertical,1,JST_01x05,
J12,XT30PWM,1,XT30PW-M,
"J13, J18, J21, J24, J27, J29",PinHeader_1x02_P2.54mm_Vertical,6,Conn_01x02,
J14,AMPHENOL_HFW8R-1STE1H1LF,1,HFW8R-1STE1H1LF,
J15,XT60PWM,1,XT60PW-M,
"J16, J19, J22, J25",CON_39306088,4,39301080,
"J17, J20, J23, J26",CONN_6002RB_3MM,4,N2510-6002RB,
J28,CONN_S8B-PH-SM4-TB_JST,1,S8B-PH-SM4-TB,
"J4, J5, J8, J9",529010274,4,52901-0274,
"Q1, Q10, Q11, Q12, Q13, Q15, Q16, Q17, Q18, Q19, Q2, Q20, Q22, Q23, Q24, Q25, Q26, Q27, Q29, Q3, Q30, Q31, Q32, Q33, Q34, Q4, Q5, Q6, Q8, Q9",DPAKTO-252_A2_STM,30,STD140N6F7,
"Q14, Q21, Q28, Q35, Q7",SOT-23,5,BSS123,
"R1, R35, R36, R50, R51, R65, R66, R80, R81",0603,9,5.6k,
"R10, R16, R19, R2, R3, R32, R33, R34, R47, R48, R49, R62, R63, R64, R77, R78, R79, R90, R91, R92",0603,20,1k,
"R11, R14, R22, R37, R5, R52, R67, R8, R82",0603,9,10k,
"R12, R17, R6",0603,3,160k,
R13,0603,1,30.1k,
R15,0603,1,29.4k,
R18,0603,1,51k,
R20,0603,1,583k,
R21,0603,1,100k,
"R23, R24, R38, R39, R53, R54, R68, R69",0603,8,120,
"R25, R26, R27, R28, R29, R30, R40, R41, R42, R43, R44, R45, R55, R56, R57, R58, R59, R60, R70, R71, R72, R73, R74, R75, R83, R84, R85, R86, R87, R88",0603,30,62,
"R31, R46, R61, R76, R89",1206,5,10m,
R4,0603,1,68k,
R7,0603,1,43.2k,
R9,0603,1,3k,
"R93, R94",0603,2,7.5k,
"R95, R96, R97",0603,3,R,
SW1,B3J-1000,1,B3J-1100,
"U1, U4",MPM3620GQVP,2,MPM3620GQV-P,
"U10, U14, U18, U22, U6",IC_STSPIN32F0A,5,STSPIN32F0A,
"U11, U15, U19, U7",SOIC127P599X175-8N,4,SN75157DR,
"U12, U13, U16, U17, U20, U21, U23, U8, U9",SOP50P310X90-8N,9,SN74LVC3G17DCUR,
U2,DIO_10100V_ONS,1,FSV10100V,
U3,SO_E006ASP-E_STM,1,VN5E006ASPTR-E,
U5,SOT65P280X100-8N,1,LTC2955-1,
X1,FUSE_01530007Z,1,01530007Z,
