Designator,Mid X,Mid Y,Rotation,Layer
C1,143.422262,-117.747262,180.0,top
C10,131.4,-135.2,270.0,bottom
C100,135.27,-116.5,270.0,top
C101,123.96,-117.2,90.0,top
C102,123.96,-114.0,90.0,top
C103,123.96,-110.8,90.0,top
C104,122.025,-105.25,180.0,bottom
C105,186.0,-115.6,90.0,top
C106,96.4,-116.275,270.0,top
C107,99.2,-116.275,270.0,top
C108,102.0,-116.275,270.0,top
C109,144.75,-89.88392,270.0,top
C11,119.8,-136.6,90.0,top
C113,120.0,-120.8,270.0,top
C114,117.0,-119.8,270.0,top
C115,114.0,-117.6,270.0,top
C116,111.0,-116.275,270.0,top
C117,108.0,-116.275,270.0,top
C118,105.0,-116.275,270.0,top
C12,119.8,-133.4,90.0,top
C13,119.8,-130.2,90.0,top
C14,132.025,-127.0,90.0,top
C15,129.0,-144.8,270.0,top
C16,131.2,-140.0,90.0,bottom
C17,125.0,-144.8,270.0,top
C18,121.0,-144.8,270.0,top
C19,117.0,-144.8,270.0,top
C2,135.1,-133.8,270.0,top
C20,153.625,-89.80892,270.0,top
C201,122.2,-121.0,0.0,bottom
C21,177.75,-95.0,270.0,bottom
C22,163.5,-138.825,270.0,bottom
C24,183.2,-115.6,90.0,top
C25,180.4,-115.6,90.0,top
C26,162.2,-135.8,0.0,top
C27,162.2,-133.2,0.0,top
C28,162.2,-130.7,0.0,top
C29,162.2,-128.2,0.0,top
C3,140.772262,-112.997262,270.0,top
C30,119.0,-172.0,270.0,bottom
C301,133.8,-170.6,180.0,bottom
C31,131.0,-156.8,270.0,bottom
C32,133.0,-166.6,0.0,bottom
C33,131.0,-160.8,270.0,bottom
C34,120.0,-162.2,90.0,top
C35,120.025,-158.975,90.0,top
C36,120.025,-155.75,90.0,top
C37,119.4,-167.6,90.0,bottom
C38,136.925,-157.8,0.0,top
C39,133.0,-164.8,180.0,bottom
C4,160.7,-117.45,180.0,top
C40,136.925,-161.2,0.0,top
C401,178.99,-169.6,180.0,bottom
C41,136.925,-164.6,0.0,top
C42,136.925,-167.9,0.0,top
C43,115.5,-148.9,0.0,bottom
C47,109.0,-150.025,90.0,top
C48,113.0,-150.025,90.0,top
C49,117.0,-150.025,90.0,top
C5,156.8,-112.7,270.0,top
C50,121.0,-150.025,90.0,top
C501,165.15,-120.1,90.0,top
C51,125.0,-150.025,90.0,top
C52,129.0,-150.025,90.0,top
C53,164.2,-171.2,270.0,bottom
C54,170.8,-154.0,0.0,bottom
C55,178.19,-165.6,0.0,bottom
C56,168.4,-157.4,90.0,bottom
C57,179.6,-155.8,270.0,top
C58,179.6,-159.0,270.0,top
C59,179.6,-162.2,270.0,top
C6,174.91,-87.45,180.0,bottom
C60,173.05,-164.5,180.0,bottom
C61,163.2,-167.8,180.0,top
C62,168.875,-164.5,180.0,bottom
C63,163.2,-164.6,180.0,top
C64,163.2,-161.2,180.0,top
C65,163.2,-157.8,180.0,top
C66,185.95,-148.4,270.0,bottom
C7,119.8,-123.8,180.0,bottom
C70,170.0,-150.0,90.0,top
C71,174.0,-150.0,90.0,top
C72,178.0,-150.0,90.0,top
C73,182.0,-150.0,90.0,top
C74,186.0,-150.0,90.0,top
C75,190.0,-150.0,90.0,top
C76,164.8,-123.45,0.0,top
C77,170.0,-128.4,180.0,bottom
C78,174.0,-119.65,180.0,top
C79,168.4,-132.1,90.0,top
C8,131.4,-130.8,270.0,bottom
C80,179.6,-130.4,270.0,top
C81,179.6,-133.6,270.0,top
C82,179.6,-136.8,270.0,top
C83,166.8,-125.1,90.0,bottom
C84,182.0,-144.8,270.0,top
C85,169.0,-140.0,270.0,bottom
C86,178.0,-144.8,270.0,top
C87,174.0,-144.8,270.0,top
C88,170.0,-144.8,270.0,top
C89,162.45,-89.83392,270.0,top
C9,119.775,-127.4,180.0,bottom
C93,188.8,-115.6,90.0,top
C94,191.6,-115.6,90.0,top
C95,194.4,-115.6,90.0,top
C96,197.2,-115.6,90.0,top
C97,200.0,-115.6,90.0,top
