"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"!BTN_CHG_PRE_EXT";"CONN-2VERT";"1X2";"J9";"";"";
"1";"!BTN_CHP_PRE_EXT";"CONN-2VERT";"1X2";"J8";"";"";
"1";"!BTN_KCK_PRE_EXT";"CONN-2VERT";"1X2";"J7";"";"";
"8";"0.1uF";"C-USC0603";"C0603";"C30, C31, C32, C33, C34, C35, C36, C37";"CAPACITOR, American symbol";"";
"4";"0.1uF 35V";"C-USC0603";"C0603";"C14, C15, C16, C26";"CAPACITOR, American symbol";"";
"3";"0.1uF 50V";"C-USC0603";"C0603";"C28, C29, C38";"CAPACITOR, American symbol";"";
"1";"1.02k 1%";"R-US_R0805";"R0805";"R12";"RESISTOR, American symbol";"";
"1";"1.5k 35W";"PWR263S-35TO-263AB";"TO508P1539X450-3";"R34";"";"";
"4";"1000uF";"CPOL-USE10-25";"EB25D";"C5, C6, C7, C8";"POLARIZED CAPACITOR, American symbol";"";
"5";"100k";"R-US_R0603";"R0603";"R2, R20, R21, R24, R31";"RESISTOR, American symbol";"";
"10";"10k";"R-US_R0603";"R0603";"R26, R27, R35, R39, R40, R49, R50, R51, R52, R53";"RESISTOR, American symbol";"";
"1";"10k 1%";"R-US_R0603";"R0603";"R6";"RESISTOR, American symbol";"";
"5";"10uF (X7R)";"C-USC1210";"C1210";"C20, C21, C23, C24, C25";"CAPACITOR, American symbol";"";
"4";"10uF (X7R) 35V";"C-USC1210";"C1210";"C10, C11, C12, C13";"CAPACITOR, American symbol";"";
"1";"10uF 50V";"C-USC1206";"C1206";"C1";"CAPACITOR, American symbol";"";
"1";"11.5k 1%";"R-US_R0805";"R0805";"R13";"RESISTOR, American symbol";"";
"1";"110k 1%";"R-US_R0603";"R0603";"R5";"RESISTOR, American symbol";"";
"1";"113k 0.1%";"R-US_R0603";"R0603";"R18";"RESISTOR, American symbol";"";
"1";"15A";"3557-2";"3557-2";"XF1";"";"";
"1";"15V";"MIC5235YM5SOT-23-5";"SOT95P280X145-5";"U2";"";"";
"4";"160";"R-US_R0603";"R0603";"R22, R23, R25, R47";"RESISTOR, American symbol";"";
"2";"160";"R-US_R1206";"R1206";"R28, R29";"RESISTOR, American symbol";"";
"1";"160k 1%";"R-US_R0603";"R0603";"R3";"RESISTOR, American symbol";"";
"2";"1k";"R-US_R0603";"R0603";"R41, R44";"RESISTOR, American symbol";"";
"3";"1uF";"C-USC0603";"C0603";"C17, C18, C22";"CAPACITOR, American symbol";"";
"1";"1uF 50V";"C-USC0603";"C0603";"C3";"CAPACITOR, American symbol";"";
"1";"2-PIN_2MM-H";"2-PIN_2MM-H";"2MM-2-H";"J5";"";"";
"1";"2.2uF 35V";"C-USC0603";"C0603";"C4";"CAPACITOR, American symbol";"";
"1";"22";"R-US_R0805";"R0805";"R15";"RESISTOR, American symbol";"";
"1";"220pF 100V";"C-USC0805";"C0805";"C9";"CAPACITOR, American symbol";"";
"1";"22uF 10V";"C-USC0603";"C0603";"C2";"CAPACITOR, American symbol";"";
"1";"22uF 35V";"C-USC0805";"C0805";"C27";"CAPACITOR, American symbol";"";
"2";"25.5k 1%";"R-US_R0805";"R0805";"R11, R14";"RESISTOR, American symbol";"";
"1";"270k";"R-US_R0603";"R0603";"R30";"RESISTOR, American symbol";"";
"2";"294k 1%";"R-US_R0805";"R0805";"R7, R9";"RESISTOR, American symbol";"";
"1";"3-PIN_2MM-H";"3-PIN_2MM-H";"2MM-3-H";"J6";"";"";
"1";"3.0k 0.1%";"R-US_R0603";"R0603";"R19";"RESISTOR, American symbol";"";
"1";"30.1k 1%";"R-US_R0603";"R0603";"R4";"RESISTOR, American symbol";"";
"3";"330";"R-US_R0603";"R0603";"R42, R43, R45";"RESISTOR, American symbol";"";
"1";"330";"RA-8";"RA-8_2506";"RN1";"Resistor Array 8";"";
"1";"3SMBJ5929B-TP";"DIODE-DO214AA";"DO214AA";"D7";"DIODE";"";
"2";"412k 1%";"R-US_R0805";"R0805";"R8, R10";"RESISTOR, American symbol";"";
"1";"43.2k 1%";"R-US_R0603";"R0603";"R1";"RESISTOR, American symbol";"";
"1";"500";"PVG3";"PVG3G";"RV1";"";"";
"1";"505k 0.1%";"R-US_R0603";"R0603";"R17";"RESISTOR, American symbol";"";
"1";"51";"R-US_R0603";"R0603";"R48";"RESISTOR, American symbol";"";
"1";"560uF";"CPOL-USE7.5-18";"E7,5-18";"C19";"POLARIZED CAPACITOR, American symbol";"";
"1";"7m 1% >1W";"R-US_R2512";"R2512";"R16";"RESISTOR, American symbol";"";
"1";"ADUM7441ARQZ-RL7";"ADUM744XARQZ-RL7";"SOP63P574X165-16";"U6";"";"";
"1";"ADUM7441CRQZ-RL7";"ADUM744XCRQZ-RL7";"SOP63P574X165-16";"U7";"";"";
"1";"AOD1N60";"AOD1N60";"DPAK";"Q6";"";"";
"1";"AT32ATQFP44";"AT32ATQFP44";"QFP80P1200X1200X120-44";"U5";"";"";
