Comment,Designator,Footprint,LCSC,Quantity
01530007Z,X1,FUSE_01530007Z,C206906,1
100 pF,"C10,C30,C31,C51,C52,C72,C73,C9",C_0603_1608Metric,C14858,8
100k,R21,R_0603_1608Metric,C25803,1
100nF,"C1,C11,C13,C14,C15,C17,C19,C32,C34,C35,C36,C38,C40,C53,C55,C56,C57,C59,C61,C74,C76,C77,C78,C80,C82,C93,C95,C96,C97,C98",C_0603_1608Metric,C14663,30
10k,"R11,R14,R22,R37,R5,R52,R67,R8,R82",R_0603_1608Metric,C25804,9
10m,"R31,R46,R61,R76,R89",R_1206_3216Metric,C20803,5
10nF,"C16,C37,C58,C79",C_1206_3216Metric,C1846,4
10nF,C6,C_0603_1608Metric,C57112,1
10uF,"C100,C101,C102,C104,C105,C106,C107,C108,C109,C18,C2,C20,C21,C22,C24,C25,C26,C27,C28,C29,C39,C41,C42,C43,C45,C46,C47,C48,C49,C5,C50,C60,C62,C63,C64,C66,C67,C68,C69,C70,C71,C81,C83,C84,C85,C87,C88,C89,C90,C91,C92,C99",C_1206_3216Metric,C13585,52
120,"R23,R24,R38,R39,R53,R54,R68,R69",R_0603_1608Metric,C22787,8
160k,"R12,R17,R6",R_0603_1608Metric,C22813,3
1k,"R10,R16,R19,R2,R3,R32,R33,R34,R47,R48,R49,R62,R63,R64,R77,R78,R79,R90,R91,R92",R_0603_1608Metric,C21190,20
1uF,"C12,C33,C54,C75,C94",C_0603_1608Metric,C15849,5
220uF,"C103,C23,C44,C65,C86",CP_Elec_6.3x7.7,C2836441,5
22uF,"C3,C4,C8",C_1206_3216Metric,C12891,3
29.4k,R15,R_0603_1608Metric,C22974,1
30.1k,R13,R_0603_1608Metric,C2960871,1
3k,R9,R_0603_1608Metric,C4211,1
43.2k,R7,R_0603_1608Metric,C23053,1
470nF,C7,C_0603_1608Metric,C1623,1
5.6k,"R1,R35,R36,R50,R51,R65,R66,R80,R81",R_0603_1608Metric,C23189,9
51k,R18,R_0603_1608Metric,C23196,1
52901-0274,"J4,J5,J8,J9",529010274,C564018,4
590k,R20,R_0603_1608Metric,C185318,1
62,"R25,R26,R27,R28,R29,R30,R40,R41,R42,R43,R44,R45,R55,R56,R57,R58,R59,R60,R70,R71,R72,R73,R74,R75,R83,R84,R85,R86,R87,R88",R_0603_1608Metric,C23222,30
68k,R4,R_0603_1608Metric,C23231,1
7.5k,"R93,R94",R_0603_1608Metric,C23234,2
B3J-1100,SW1,B3J-1000,C2733628,1
BSS123,"Q14,Q21,Q28,Q35,Q7",SOT-23,C79015,5
D2510-6002-AR,"J17,J20,J23,J26",CONN_6002RB_3MM,C17659136,4
FSV10100V,U2,DIO_10100V_ONS,C7422633,1
GREEN,"D1,D2,D3,D4,D5,D6,D7,D8",D_0603_1608Metric,C12624,8
HFW8R-1STE1H1LF,J14,AMPHENOL_HFW8R-1STE1H1LF,C3169775,1
LTC2955-1,U5,SOT65P280X100-8N,C580659,1
MPM3620GQV-P,"U1,U4",MPM3620GQVP,C6675393,2
R,"R95,R96,R97",R_0603_1608Metric,C23212,3
S8B-PH-SM4-TB,J28,CONN_S8B-PH-SM4-TB_JST,C265121,1
SN74LVC3G17DCUR,"U12,U13,U16,U17,U20,U21,U23,U8,U9",SOP50P310X90-8N,C18213,9
SN75157DR,"U11,U15,U19,U7",SOIC127P599X175-8N,C2861519,4
STD140N6F7,"Q1,Q10,Q11,Q12,Q13,Q15,Q16,Q17,Q18,Q19,Q2,Q20,Q22,Q23,Q24,Q25,Q26,Q27,Q29,Q3,Q30,Q31,Q32,Q33,Q34,Q4,Q5,Q6,Q8,Q9",DPAKTO-252_A2_STM,C513091,30
STSPIN32F0A,"U10,U14,U18,U22,U6",IC_STSPIN32F0A,C1520987,5
VN5E006ASPTR-E,U3,SO_E006ASP-E_STM,C2150096,1
XT30PW-M,J12,XT30PWM,C431092,1
XT60PW-M,J15,XT60PWM,C98732,1
