Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric,163.5,-138.825,270.0,bottom
C10,100 pF,C_0603_1608Metric,119.775,-127.4,180.0,bottom
C100,10uF,C_1206_3216Metric,96.4,-116.275,-90.0,top
C101,10uF,C_1206_3216Metric,99.2,-116.275,-90.0,top
C102,10uF,C_1206_3216Metric,102.0,-116.275,-90.0,top
C103,220uF,CP_Elec_6.3x7.7,144.75,-89.88392,90.0,top
C104,10uF,C_1206_3216Metric,120.0,-120.8,-90.0,top
C105,10uF,C_1206_3216Metric,117.0,-119.8,-90.0,top
C106,10uF,C_1206_3216Metric,114.0,-117.6,-90.0,top
C107,10uF,C_1206_3216Metric,111.0,-116.275,-90.0,top
C108,10uF,C_1206_3216Metric,108.0,-116.275,-90.0,top
C109,10uF,C_1206_3216Metric,105.0,-116.275,-90.0,top
C11,100nF,C_0603_1608Metric,131.4,-130.8,270.0,bottom
C12,1uF,C_0603_1608Metric,131.4,-135.2,270.0,bottom
C13,100nF,C_0603_1608Metric,119.8,-136.6,90.0,top
C14,100nF,C_0603_1608Metric,119.8,-133.4,90.0,top
C15,100nF,C_0603_1608Metric,119.8,-130.2,90.0,top
C16,10nF,C_1206_3216Metric,122.2,-121.0,0.0,bottom
C17,100nF,C_0603_1608Metric,131.5,-127.0,90.0,top
C18,10uF,C_1206_3216Metric,129.0,-144.8,-90.0,top
C19,100nF,C_0603_1608Metric,131.2,-140.0,90.0,bottom
C2,10uF,C_1206_3216Metric,143.422262,-117.747262,180.0,top
C20,10uF,C_1206_3216Metric,125.0,-144.8,-90.0,top
C21,10uF,C_1206_3216Metric,121.0,-144.8,-90.0,top
C22,10uF,C_1206_3216Metric,117.0,-144.8,-90.0,top
C23,220uF,CP_Elec_6.3x7.7,153.625,-89.80892,90.0,top
C24,10uF,C_1206_3216Metric,183.2,-115.6,90.0,top
C25,10uF,C_1206_3216Metric,180.4,-115.6,90.0,top
C26,10uF,C_1206_3216Metric,162.2,-135.8,0.0,top
C27,10uF,C_1206_3216Metric,162.2,-133.2,0.0,top
C28,10uF,C_1206_3216Metric,162.2,-130.7,0.0,top
C29,10uF,C_1206_3216Metric,162.2,-128.2,0.0,top
C3,22uF,C_1206_3216Metric,135.1,-133.8,-90.0,top
C30,100 pF,C_0603_1608Metric,119.0,-172.0,270.0,bottom
C31,100 pF,C_0603_1608Metric,133.0,-166.6,0.0,bottom
C32,100nF,C_0603_1608Metric,131.0,-156.8,270.0,bottom
C33,1uF,C_0603_1608Metric,131.0,-160.8,270.0,bottom
C34,100nF,C_0603_1608Metric,120.0,-162.2,90.0,top
C35,100nF,C_0603_1608Metric,120.025,-158.975,90.0,top
C36,100nF,C_0603_1608Metric,120.025,-155.75,90.0,top
C37,10nF,C_1206_3216Metric,133.8,-170.6,180.0,bottom
C38,100nF,C_0603_1608Metric,119.4,-167.6,90.0,bottom
C39,10uF,C_1206_3216Metric,136.925,-157.8,0.0,top
C4,22uF,C_1206_3216Metric,140.772262,-112.997262,-90.0,top
C40,100nF,C_0603_1608Metric,133.0,-164.8,180.0,bottom
C41,10uF,C_1206_3216Metric,136.925,-161.2,0.0,top
C42,10uF,C_1206_3216Metric,136.925,-164.6,0.0,top
C43,10uF,C_1206_3216Metric,136.925,-167.9,0.0,top
C44,220uF,CP_Elec_6.3x7.7,115.5,-148.9,180.0,bottom
