"BZ1","PS12","PS12"
"C1","10uF","0805"
"C2","100nF","0603"
"C3","1uF","0603"
"C4","470uF 25V","PANASONIC_G"
"C5","470uF 25V","PANASONIC_G"
"C6","100nF","0603"
"C7","470uF 25V","PANASONIC_G"
"C8","10nF","0603"
"C9","2.2nF","0603"
"C10","470uF 25V","PANASONIC_G"
"C11","10nF","0603"
"C12","220nF","0603"
"C13","100pF","0603"
"C14","470uF 25V","PANASONIC_G"
"C15","27pF","0603"
"C16","27pF","0603"
"C17","100nF","0603"
"C18","33pF","0603"
"C19","10nF","0603"
"C20","1nF","0603"
"C21","100nF","0603"
"C22","100nF","0603"
"C23","100nF","0603"
"C24","100nF","0603"
"C25","100nF","0603"
"C26","100nF","0603"
"C27","100nF","0603"
"C28","100nF","0603"
"C29","100nF","0603"
"C30","100nF","0603"
"C31","1uF","0603"
"C32","100nF","0603"
"C33","100nF","0603"
"C34","1uF","0603"
"C35","100nF","0603"
"C36","100nF","0603"
"C37","100nF","0603"
"C38","100nF","0603"
"C39","100nF","0603"
"C40","500R07S1R8BV4T","0402"
"C41","1uF 35V","0805"
"C42","100uF 25V","PANASONIC_E"
"C43","10nF","0603"
"C44","22uF 6.3V","1206"
"C46","100nF","0603"
"C47","100nF","0603"
"C48","100nF","0603"
"C49","100nF","0603"
"C50","100nF","0603"
"C51","100nF","0603"
"C52","100nF","0603"
"C53","100nF","0603"
"C54","100nF","0603"
"C55","100nF","0603"
"C56","100nF","0603"
"C57","100nF","0603"
"C58","100nF","0603"
"C59","2.2nF","0603"
"C60","100nF","0603"
"C67","100nF","0603"
"C68","100nF","0603"
"C71","100nF","0603"
"C77","100nF","0603"
"C79","100nF","0603"
"D1","MBRX160-TP","SOD123"
"D2","MBRX160-TP","SOD123"
"D3","BAS16H","SOD323-W"
"D4","564-0100-132F","DIALIGHT-564"
"D5","564-0100-132F","DIALIGHT-564"
"D6","SMBJP6KE18A-TP","SMBJ"
"F1","2x BK6011","FUSE_MINI_ATC"
"F2","SF-1206F100-2","1206"
"J1","528520870","528520870"
"J2","MINI-USB","UX60A-MB-5ST"
"J3","2MM-2H","2MM-2-H"
"J4","Molex 0522711179","FH_11_HOR"
"J5","Molex 0522711179","FH_11_HOR"
"J6","Molex 0522711179","FH_11_HOR"
"J7","Molex 0522711179","FH_11_HOR"
"J8","MMCX_RA","MMCX_RA"
"J9","2MM-3H","2MM-3-H"
"J10","2MM-6H","2MM-6-H"
"J11","JST_VH_2","JST_VH_2_RA"
"J12","2MM-4V","2MM-4-V"
"J13","2MM-4H","2MM-4-H"
"J14","2MM-4H","2MM-4-H"
"J15","2MM-4H","2MM-4-H"
"J16","2MM-4H","2MM-4-H"
"J17","2MM-8H","2MM-8-H"
"J19","JST_VH_2","JST_VH_2_RA"
"L1","SDR0403-270KL","SDR0403"
"L2","HZ0603B102R-10","0603"
"L3","HZ0603B102R-10","0603"
"L4","L-07C5N6SV6T","0402"
"L5","HZ0603B102R-10","0603"
"LED1","GREEN_LED","0603"
"Q1","IRF9310TRPBF","SO8"
"Q2","IRF8734TRPBF","SO8"
"Q3","IRF9310TRPBF","SO8"
"Q4","IRF8734TRPBF","SO8"
"Q5","IRF9310TRPBF","SO8"
"Q6","IRF8734TRPBF","SO8"
"Q7","IRF9310TRPBF","SO8"
"Q8","IRF8734TRPBF","SO8"
"Q9","IRF9310TRPBF","SO8"
"Q10","IRF8734TRPBF","SO8"
"Q11","IRF9310TRPBF","SO8"
"Q12","IRF8734TRPBF","SO8"
"Q13","IRF9310TRPBF","SO8"
"Q14","IRF8734TRPBF","SO8"
"Q15","IRF9310TRPBF","SO8"
"Q16","IRF8734TRPBF","SO8"
"Q17","IRF9310TRPBF","SO8"
"Q18","IRF8734TRPBF","SO8"
"Q19","IRF9310TRPBF","SO8"
"Q20","IRF8734TRPBF","SO8"
"Q21","IRF9310TRPBF","SO8"
"Q22","IRF8734TRPBF","SO8"
"Q23","IRF9310TRPBF","SO8"
"Q24","IRF8734TRPBF","SO8"
"Q25","IRF9310TRPBF","SO8"
"Q26","IRF8734TRPBF","SO8"
"Q27","IRF9310TRPBF","SO8"
"Q28","IRF8734TRPBF","SO8"
"Q29","IRF9310TRPBF","SO8"
"Q30","IRF8734TRPBF","SO8"
"Q33","FDV304P","SOT-23"
"R1","220","RA_4_1206"
"R2","10.0k","0603"
"R3","220","RA_4_1206"
"R4","220","RA_4_1206"
"R5","10.0k","0603"
"R6","220","RA_4_1206"
"R7","10.0k","0603"
"R8","10.0k","0603"
