Partlist

Exported from mainpcb.sch at 1/21/2014 6:55:47 PM

EAGLE Version 6.1.0 Copyright (c) 1988-2012 CadSoft

Assembly variant: 

Part     Value              Device                Package         Library          Sheet

BZ1      PS12               PS12                  PS12            tdk              4
C1       10uF               C-USC0805             C0805           rcl              5
C2       100nF              C-USC0603             C0603           rcl              2
C3       1uF                C-USC0603             C0603           rcl              4
C4       470uF 25V          CPOL-USG              PANASONIC_G     rcl              2
C5       470uF 25V          CPOL-USG              PANASONIC_G     rcl              2
C6       100nF              C-USC0603             C0603           rcl              3
C7       470uF 25V          CPOL-USG              PANASONIC_G     rcl              2
C8       10nF               C-USC0603             C0603           rcl              3
C9       2.2nF              C-USC0603             C0603           rcl              3
C10      470uF 25V          CPOL-USG              PANASONIC_G     rcl              2
C11      10nF               C-USC0603             C0603           rcl              3
C12      220nF              C-USC0603             C0603           rcl              3
C13      100pF              C-USC0603             C0603           rcl              3
C14      470uF 25V          CPOL-USG              PANASONIC_G     rcl              2
C15      27pF               C-USC0603             C0603           rcl              3
C16      27pF               C-USC0603             C0603           rcl              3
C17      100nF              C-USC0603             C0603           rcl              3
C18      33pF               C-USC0603             C0603           rcl              4
C19      10nF               C-USC0603             C0603           rcl              4
C20      1nF                C-USC0603             C0603           rcl              4
C21      100nF              C-USC0603             C0603           rcl              2
C22      100nF              C-USC0603             C0603           rcl              2
C23      100nF              C-USC0603             C0603           rcl              5
C24      100nF              C-USC0603             C0603           rcl              5
C25      100nF              C-USC0603             C0603           rcl              4
C26      100nF              C-USC0603             C0603           rcl              2
C27      100nF              C-USC0603             C0603           rcl              2
C28      100nF              C-USC0603             C0603           rcl              2
C29      100nF              C-USC0603             C0603           rcl              2
C30      100nF              C-USC0603             C0603           rcl              2
C31      1uF                C-USC0603             C0603           rcl              5
C32      100nF              C-USC0603             C0603           rcl              2
C33      100nF              C-USC0603             C0603           rcl              2
C34      1uF                C-USC0603             C0603           rcl              5
C35      100nF              C-USC0603             C0603           rcl              2
C36      100nF              C-USC0603             C0603           rcl              2
C37      100nF              C-USC0603             C0603           rcl              2
C38      100nF              C-USC0603             C0603           rcl              2
C39      100nF              C-USC0603             C0603           rcl              2
C40      500R07S1R8BV4T     C-USC0402             C0402           rcl              3
C41      1uF 35V            C-USC0805             C0805           rcl              5
C42      100uF 25V          CPOL-USE              PANASONIC_E     rcl              5
C43      10nF               C-USC0603             C0603           rcl              5
C44      22uF 6.3V          C-USC1206             C1206           rcl              5
C46      100nF              C-USC0603             C0603           rcl              5
C47      100nF              C-USC0603             C0603           rcl              5
C48      100nF              C-USC0603             C0603           rcl              5
C49      100nF              C-USC0603             C0603           rcl              5
C50      100nF              C-USC0603             C0603           rcl              5
C51      100nF              C-USC0603             C0603           rcl              5
C52      100nF              C-USC0603             C0603           rcl              7
C53      100nF              C-USC0603             C0603           rcl              1
C54      100nF              C-USC0603             C0603           rcl              1
C55      100nF              C-USC0603             C0603           rcl              7
C56      100nF              C-USC0603             C0603           rcl              5
C57      100nF              C-USC0603             C0603           rcl              7
C58      100nF              C-USC0603             C0603           rcl              7
C59      2.2nF              C-USC0603             C0603           rcl              7
C60      100nF              C-USC0603             C0603           rcl              5
C67      100nF              C-USC0603             C0603           rcl              5
C68      100nF              C-USC0603             C0603           rcl              5
C71      100nF              C-USC0603             C0603           rcl              5
C77      100nF              C-USC0603             C0603           rcl              4
C79      100nF              C-USC0603             C0603           rcl              4
D1       MBRX160-TP         DIODE-SOD123          SOD123          diode            5
D2       MBRX160-TP         DIODE-SOD123          SOD123          diode            5
D3       BAS16H             DIODE-SOD323-W        SOD323-W        diode            5
D4       564-0100-132F      LED-ARRAY-3-564       DIALIGHT-564    led-array        4
D5       564-0100-132F      LED-ARRAY-3-564       DIALIGHT-564    led-array        4
D6       SMBJP6KE18A-TP     SUPPRESSOR-SMBJ       SMBJ            power            5
F1       2x BK6011          FUSE_AUTO             FUSE_MINI_ATC   power            5
F2       SF-1206F100-2      FUSE1206              F1206           power            5
J1       0528520870         0528520870            0528520870      con-robocup      1
J2       MINI-USB           MINI-USB-UX60A-MB-5ST UX60A-MB-5ST    con-robocup      4
J3       2MM-2H             2MM-2H                2MM-2-H         2mm              4
J4       Molex 0522711179   FH_11_H               FH_11_HOR       hirose           2
J5       Molex 0522711179   FH_11_H               FH_11_HOR       hirose           2
J6       Molex 0522711179   FH_11_H               FH_11_HOR       hirose           2
J7       Molex 0522711179   FH_11_H               FH_11_HOR       hirose           2
J8       MMCX_RA            MMCX_RA               MMCX_RA         radio            3
J9       2MM-3H             2MM-3H                2MM-3-H         2mm              4
J10      2MM-6H             2MM-6H                2MM-6-H         2mm              1
J11      JST_VH_2           JST_VH_2RA            JST_VH_2_RA     jst_vh           5
J12      2MM-4V             2MM-4V                2MM-4-V         2mm              5
J13      2MM-4H             2MM-4H                2MM-4-H         2mm              6
J14      2MM-4H             2MM-4H                2MM-4-H         2mm              6
J15      2MM-4H             2MM-4H                2MM-4-H         2mm              6
J16      2MM-4H             2MM-4H                2MM-4-H         2mm              6
J17      2MM-8H             2MM-8H                2MM-8-H         2mm              2
J19      JST_VH_2           JST_VH_2RA            JST_VH_2_RA     jst_vh           5
J20      2MM-5V             2MM-5V                2MM-5-V         2mm              1
L1       SDR0403-270KL      L-USSDR0403           SDR0403         power            5
L2       HZ0603B102R-10     L-US0603              C0603           radio            7
L3       HZ0603B102R-10     L-US0603              C0603           radio            7
L4       L-07C5N6SV6T       R-EU_R0402            R0402           rcl              3
L5       HZ0603B102R-10     L-US0603              C0603           radio            3
LED1                        LEDCHIP-LED0603       CHIP-LED0603    led              1
Q1       IRF9310TRPBF       NTMS10P02R2           SO8             onsemi           2
Q2       IRF8734TRPBF       NTMS4503N             SO8             onsemi           2
Q3       IRF9310TRPBF       NTMS10P02R2           SO8             onsemi           2
